region,mode,line_item,estimated_usd,source
us-east-1,dev-single-az,ec2-app-baseline,0.00,AWS Pricing Calculator example replace-before-use
us-east-1,dev-single-az,ec2-observability,0.00,AWS Pricing Calculator example replace-before-use
us-east-1,demo-ha,ec2-extra-demo-app-nodes,0.00,AWS Pricing Calculator example replace-before-use
us-east-1,dev-single-az,rds-postgresql-single-az,0.00,AWS Pricing Calculator example replace-before-use
us-east-1,demo-ha,rds-postgresql-multi-az,0.00,AWS Pricing Calculator example replace-before-use
us-east-1,shared,rds-storage-guardrail,0.00,AWS Pricing Calculator example replace-before-use
us-east-1,shared,alb-hours,0.00,AWS Pricing Calculator example replace-before-use
us-east-1,shared,alb-lcu-minimum,0.00,AWS Pricing Calculator example replace-before-use
us-east-1,shared,ec2-ebs-gp3-app,0.00,AWS Pricing Calculator example replace-before-use
us-east-1,shared,ec2-ebs-gp3-observability,0.00,AWS Pricing Calculator example replace-before-use
us-east-1,shared,s3-export-storage,0.00,AWS Pricing Calculator example replace-before-use
us-east-1,shared,cloudwatch-logs-guardrail,0.00,AWS Pricing Calculator example replace-before-use
us-east-1,shared,data-transfer-guardrail,0.00,AWS Pricing Calculator example replace-before-use
us-east-1,shared,dns-acm-guardrail,0.00,AWS Pricing Calculator example replace-before-use
us-east-2,dev-single-az,ec2-app-baseline,0.00,AWS Pricing Calculator example replace-before-use
us-east-2,dev-single-az,ec2-observability,0.00,AWS Pricing Calculator example replace-before-use
us-east-2,demo-ha,ec2-extra-demo-app-nodes,0.00,AWS Pricing Calculator example replace-before-use
us-east-2,dev-single-az,rds-postgresql-single-az,0.00,AWS Pricing Calculator example replace-before-use
us-east-2,demo-ha,rds-postgresql-multi-az,0.00,AWS Pricing Calculator example replace-before-use
us-east-2,shared,rds-storage-guardrail,0.00,AWS Pricing Calculator example replace-before-use
us-east-2,shared,alb-hours,0.00,AWS Pricing Calculator example replace-before-use
us-east-2,shared,alb-lcu-minimum,0.00,AWS Pricing Calculator example replace-before-use
us-east-2,shared,ec2-ebs-gp3-app,0.00,AWS Pricing Calculator example replace-before-use
us-east-2,shared,ec2-ebs-gp3-observability,0.00,AWS Pricing Calculator example replace-before-use
us-east-2,shared,s3-export-storage,0.00,AWS Pricing Calculator example replace-before-use
us-east-2,shared,cloudwatch-logs-guardrail,0.00,AWS Pricing Calculator example replace-before-use
us-east-2,shared,data-transfer-guardrail,0.00,AWS Pricing Calculator example replace-before-use
us-east-2,shared,dns-acm-guardrail,0.00,AWS Pricing Calculator example replace-before-use
us-west-2,dev-single-az,ec2-app-baseline,0.00,AWS Pricing Calculator example replace-before-use
us-west-2,dev-single-az,ec2-observability,0.00,AWS Pricing Calculator example replace-before-use
us-west-2,demo-ha,ec2-extra-demo-app-nodes,0.00,AWS Pricing Calculator example replace-before-use
us-west-2,dev-single-az,rds-postgresql-single-az,0.00,AWS Pricing Calculator example replace-before-use
us-west-2,demo-ha,rds-postgresql-multi-az,0.00,AWS Pricing Calculator example replace-before-use
us-west-2,shared,rds-storage-guardrail,0.00,AWS Pricing Calculator example replace-before-use
us-west-2,shared,alb-hours,0.00,AWS Pricing Calculator example replace-before-use
us-west-2,shared,alb-lcu-minimum,0.00,AWS Pricing Calculator example replace-before-use
us-west-2,shared,ec2-ebs-gp3-app,0.00,AWS Pricing Calculator example replace-before-use
us-west-2,shared,ec2-ebs-gp3-observability,0.00,AWS Pricing Calculator example replace-before-use
us-west-2,shared,s3-export-storage,0.00,AWS Pricing Calculator example replace-before-use
us-west-2,shared,cloudwatch-logs-guardrail,0.00,AWS Pricing Calculator example replace-before-use
us-west-2,shared,data-transfer-guardrail,0.00,AWS Pricing Calculator example replace-before-use
us-west-2,shared,dns-acm-guardrail,0.00,AWS Pricing Calculator example replace-before-use
